"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8.g",0,"M3/4","C:",1,"^5","8.","g",FALSE,"[g]",NA,67
2,"16f",0,"M3/4","C:",1,"v4","16","f",TRUE,"-M2",2,65
3,"4e",1,"M3/4","C:",1,"v3","4","e",TRUE,"-m2",2,64
4,"4c",1,"M3/4","C:",1,"v1","4","c",TRUE,"-M3",3,60
5,"8.cc",1,"M3/4","C:",1,"^1","8.","cc",FALSE,"+P8",8,72
6,"16a",1,"M3/4","C:",1,"v6","16","a",TRUE,"-m3",3,69
7,"4g",2,"M3/4","C:",1,"v5","4","g",TRUE,"-M2",2,67
8,"4e}",2,"M3/4","C:",1,"v3","4","e",TRUE,"-m3",3,64
9,"{8.a",2,"M3/4","C:",2,"^6","8.","a",FALSE,"+P4",4,69
10,"16g",2,"M3/4","C:",2,"v5","16","g",TRUE,"-M2",2,67
11,"4f",3,"M3/4","C:",2,"v4","4","f",TRUE,"-M2",2,65
12,"4d",3,"M3/4","C:",2,"v2","4","d",TRUE,"-m3",3,62
13,"8.g",3,"M3/4","C:",2,"^5","8.","g",FALSE,"+P4",4,67
14,"16f",3,"M3/4","C:",2,"v4","16","f",TRUE,"-M2",2,65
15,"4e",4,"M3/4","C:",2,"v3","4","e",TRUE,"-m2",2,64
16,"4r}",4,"M3/4","C:",2,NA,"4",NA,FALSE,NA,NA,NA
17,"{8.ee",4,"M3/4","C:",3,"^3","8.","ee",FALSE,"[ee]",NA,76
18,"16dd",4,"M3/4","C:",3,"v2","16","dd",TRUE,"-M2",2,74
19,"4cc",5,"M3/4","C:",3,"v1","4","cc",TRUE,"-M2",2,72
20,"4g",5,"M3/4","C:",3,"v5","4","g",TRUE,"-P4",4,67
21,"8.cc",5,"M3/4","C:",3,"^1","8.","cc",FALSE,"+P4",4,72
22,"16a",5,"M3/4","C:",3,"v6","16","a",TRUE,"-m3",3,69
23,"4g",6,"M3/4","C:",3,"v5","4","g",TRUE,"-M2",2,67
24,"4e}",6,"M3/4","C:",3,"v3","4","e",TRUE,"-m3",3,64
25,"{8.a",6,"M3/4","C:",4,"^6","8.","a",FALSE,"+P4",4,69
26,"16g",6,"M3/4","C:",4,"v5","16","g",TRUE,"-M2",2,67
27,"4f",7,"M3/4","C:",4,"v4","4","f",TRUE,"-M2",2,65
28,"4d",7,"M3/4","C:",4,"v2","4","d",TRUE,"-m3",3,62
29,"8g",7,"M3/4","C:",4,"^5","8","g",FALSE,"+P4",4,67
30,"8f",7,"M3/4","C:",4,"v4","8","f",TRUE,"-M2",2,65
31,"4e",8,"M3/4","C:",4,"v3","4","e",TRUE,"-m2",2,64
32,"4r",8,"M3/4","C:",4,NA,"4",NA,FALSE,NA,NA,NA
33,"4r}",8,"M3/4","C:",4,NA,"4",NA,FALSE,NA,NA,NA
34,"{4.g",9,"M3/4","C:",5,"^5","4.","g",FALSE,"[g]",NA,67
35,"8ff",9,"M3/4","C:",5,"^4","8","ff",FALSE,"+m7",7,77
36,"8.ee",9,"M3/4","C:",5,"v3","8.","ee",TRUE,"-m2",2,76
37,"16dd",9,"M3/4","C:",5,"v2","16","dd",TRUE,"-M2",2,74
38,"8.cc",10,"M3/4","C:",5,"v1","8.","cc",TRUE,"-M2",2,72
39,"16e",10,"M3/4","C:",5,"v3","16","e",TRUE,"-m6",6,64
40,"4g",10,"M3/4","C:",5,"^5","4","g",FALSE,"+m3",3,67
41,"4r}",10,"M3/4","C:",5,NA,"4",NA,FALSE,NA,NA,NA
42,"{8.g",11,"M3/4","C:",6,"5","8.","g",FALSE,"[g]",NA,67
43,"16b/",11,"M3/4","C:",6,"^7","16","b",FALSE,"+M3",3,71
44,"4dd",11,"M3/4","C:",6,"^2","4","dd",FALSE,"+m3",3,74
45,"4dd",11,"M3/4","C:",6,"2","4","dd",FALSE,"P1",1,74
46,"8.cc",12,"M3/4","C:",6,"v1","8.","cc",TRUE,"-M2",2,72
47,"16dd",12,"M3/4","C:",6,"^2","16","dd",FALSE,"+M2",2,74
48,"4ee",12,"M3/4","C:",6,"^3","4","ee",FALSE,"+M2",2,76
49,"4ee}",12,"M3/4","C:",6,"3","4","ee",FALSE,"P1",1,76
50,"{4.g",13,"M3/4","C:",7,"v5","4.","g",TRUE,"-M6",6,67
51,"8ff",13,"M3/4","C:",7,"^4","8","ff",FALSE,"+m7",7,77
52,"8.ee",13,"M3/4","C:",7,"v3","8.","ee",TRUE,"-m2",2,76
53,"16dd",13,"M3/4","C:",7,"v2","16","dd",TRUE,"-M2",2,74
54,"8.cc",14,"M3/4","C:",7,"v1","8.","cc",TRUE,"-M2",2,72
55,"16e",14,"M3/4","C:",7,"v3","16","e",TRUE,"-m6",6,64
56,"4g",14,"M3/4","C:",7,"^5","4","g",FALSE,"+m3",3,67
57,"4r}",14,"M3/4","C:",7,NA,"4",NA,FALSE,NA,NA,NA
58,"{8.g",15,"M3/4","C:",8,"5","8.","g",FALSE,"[g]",NA,67
59,"16a",15,"M3/4","C:",8,"^6","16","a",FALSE,"+M2",2,69
60,"4dd",15,"M3/4","C:",8,"^2","4","dd",FALSE,"+P4",4,74
61,"4b",15,"M3/4","C:",8,"v7","4","b",TRUE,"-m3",3,71
62,"4cc",16,"M3/4","C:",8,"^1","4","cc",FALSE,"+m2",2,72
63,"4r}",16,"M3/4","C:",8,NA,"4",NA,FALSE,NA,NA,NA
