"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4.a",1,"M2/4","D:",1,"^6","4.","a",FALSE,"[a]",NA,69
2,"8g",1,"M2/4","D:",1,"v5","8","g",TRUE,"-M2",2,67
3,"(8f#L",2,"M2/4","D:",1,"v4+","8","f#",TRUE,"-m2",2,66
4,"8aJ)",2,"M2/4","D:",1,"^6","8","a",FALSE,"+m3",3,69
5,"(8ddL",2,"M2/4","D:",1,"^2","8","dd",FALSE,"+P4",4,74
6,"8f#J)",2,"M2/4","D:",1,"v4+","8","f#",TRUE,"-m6",6,66
7,"4a",3,"M2/4","D:",1,"^6","4","a",FALSE,"+m3",3,69
8,"8g",3,"M2/4","D:",1,"v5","8","g",TRUE,"-M2",2,67
9,"8e",3,"M2/4","D:",1,"v3","8","e",TRUE,"-m3",3,64
10,"4f#",4,"M2/4","D:",1,"^4+","4","f#",FALSE,"+M2",2,66
11,"8d",4,"M2/4","D:",1,"v2","8","d",TRUE,"-M3",3,62
12,"8r}",4,"M2/4","D:",1,NA,"8",NA,FALSE,NA,NA,NA
13,"{4.a",5,"M2/4","D:",2,"^6","4.","a",FALSE,"[a]",NA,69
14,"8g",5,"M2/4","D:",2,"v5","8","g",TRUE,"-M2",2,67
15,"(8f#L",6,"M2/4","D:",2,"v4+","8","f#",TRUE,"-m2",2,66
16,"8aJ)",6,"M2/4","D:",2,"^6","8","a",FALSE,"+m3",3,69
17,"8dd",6,"M2/4","D:",2,"^2","8","dd",FALSE,"+P4",4,74
18,"8f#",6,"M2/4","D:",2,"v4+","8","f#",TRUE,"-m6",6,66
19,"4a",7,"M2/4","D:",2,"^6","4","a",FALSE,"+m3",3,69
20,"8g",7,"M2/4","D:",2,"v5","8","g",TRUE,"-M2",2,67
21,"8e",7,"M2/4","D:",2,"v3","8","e",TRUE,"-m3",3,64
22,"4f#",8,"M2/4","D:",2,"^4+","4","f#",FALSE,"+M2",2,66
23,"8d",8,"M2/4","D:",2,"v2","8","d",TRUE,"-M3",3,62
24,"8r}",8,"M2/4","D:",2,NA,"8",NA,FALSE,NA,NA,NA
25,"{4d",9,"M2/4","D:",3,"2","4","d",FALSE,"[d]",NA,62
26,"(8f#L",9,"M2/4","D:",3,"^4+","8","f#",FALSE,"+M3",3,66
27,"8aJ)",9,"M2/4","D:",3,"^6","8","a",FALSE,"+m3",3,69
28,"4d",10,"M2/4","D:",3,"v2","4","d",TRUE,"-P5",5,62
29,"(8f#L",10,"M2/4","D:",3,"^4+","8","f#",FALSE,"+M3",3,66
30,"8aJ)",10,"M2/4","D:",3,"^6","8","a",FALSE,"+m3",3,69
31,"2cc#",11,"M2/4","D:",3,"^1+","2","cc#",FALSE,"+M3",3,73
32,"4a",12,"M2/4","D:",3,"v6","4","a",TRUE,"-M3",3,69
33,"4r}",12,"M2/4","D:",3,NA,"4",NA,FALSE,NA,NA,NA
34,"{4cc#",13,"M2/4","D:",4,"^1+","4","cc#",FALSE,"[cc#]",NA,73
35,"4cc#",13,"M2/4","D:",4,"1+","4","cc#",FALSE,"P1",1,73
36,"4dd",14,"M2/4","D:",4,"^2","4","dd",FALSE,"+m2",2,74
37,"4f#",14,"M2/4","D:",4,"v4+","4","f#",TRUE,"-m6",6,66
38,"2a",15,"M2/4","D:",4,"^6","2","a",FALSE,"+m3",3,69
39,"4f#",16,"M2/4","D:",4,"v4+","4","f#",TRUE,"-m3",3,66
40,"4r}",16,"M2/4","D:",4,NA,"4",NA,FALSE,NA,NA,NA
41,"{4d",17,"M2/4","D:",5,"v2","4","d",FALSE,"[d]",NA,62
42,"8f#",17,"M2/4","D:",5,"^4+","8","f#",FALSE,"+M3",3,66
43,"8a",17,"M2/4","D:",5,"^6","8","a",FALSE,"+m3",3,69
44,"4d",18,"M2/4","D:",5,"v2","4","d",TRUE,"-P5",5,62
45,"8f#",18,"M2/4","D:",5,"^4+","8","f#",FALSE,"+M3",3,66
46,"8a",18,"M2/4","D:",5,"^6","8","a",FALSE,"+m3",3,69
47,"(8b\L",19,"M2/4","D:",5,"^7","8","b",FALSE,"+M2",2,71
48,"8gJ)",19,"M2/4","D:",5,"v5","8","g",TRUE,"-M3",3,67
49,"8dd",19,"M2/4","D:",5,"^2","8","dd",FALSE,"+P5",5,74
50,"8b",19,"M2/4","D:",5,"v7","8","b",TRUE,"-m3",3,71
51,"4a",20,"M2/4","D:",5,"v6","4","a",TRUE,"-M2",2,69
52,"4r}",20,"M2/4","D:",5,NA,"4",NA,FALSE,NA,NA,NA
53,"{4cc#",21,"M2/4","D:",6,"^1+","4","cc#",FALSE,"[cc#]",NA,73
54,"4cc#",21,"M2/4","D:",6,"1+","4","cc#",FALSE,"P1",1,73
55,"4dd",22,"M2/4","D:",6,"^2","4","dd",FALSE,"+m2",2,74
56,"4f#",22,"M2/4","D:",6,"v4+","4","f#",TRUE,"-m6",6,66
57,"(4a",23,"M2/4","D:",6,"^6","4","a",FALSE,"+m3",3,69
58,"8ff#L",23,"M2/4","D:",6,"^4+","8","ff#",FALSE,"+M6",6,78
59,"8eeJ)",23,"M2/4","D:",6,"v3","8","ee",TRUE,"-M2",2,76
60,"4dd",24,"M2/4","D:",6,"v2","4","dd",TRUE,"-M2",2,74
61,"4r}",24,"M2/4","D:",6,NA,"4",NA,FALSE,NA,NA,NA
