"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8g",0,"M2/4","C:",1,"^5","8","g",FALSE,"[g]",NA,67
2,"8f#",1,"M2/4","C:",1,"v4+","8","f#",TRUE,"-m2",2,66
3,"8g",1,"M2/4","C:",1,"^5","8","g",FALSE,"+m2",2,67
4,"8a",1,"M2/4","C:",1,"^6","8","a",FALSE,"+M2",2,69
5,"8g",1,"M2/4","C:",1,"v5","8","g",TRUE,"-M2",2,67
6,"8f#",2,"M2/4","C:",1,"v4+","8","f#",TRUE,"-m2",2,66
7,"8g",2,"M2/4","C:",1,"^5","8","g",FALSE,"+m2",2,67
8,"8a}",2,"M2/4","C:",1,"^6","8","a",FALSE,"+M2",2,69
9,"{8g",2,"M2/4","C:",2,"v5","8","g",TRUE,"-M2",2,67
10,"8g",3,"M2/4","C:",2,"5","8","g",FALSE,"P1",1,67
11,"8f",3,"M2/4","C:",2,"v4","8","f",TRUE,"-M2",2,65
12,"8dd/",3,"M2/4","C:",2,"^2","8","dd",FALSE,"+M6",6,74
13,"8f",3,"M2/4","C:",2,"v4","8","f",TRUE,"-M6",6,65
14,"8f",4,"M2/4","C:",2,"4","8","f",FALSE,"P1",1,65
15,"8e",4,"M2/4","C:",2,"v3","8","e",TRUE,"-m2",2,64
16,"8cc/}",4,"M2/4","C:",2,"^1","8","cc",FALSE,"+m6",6,72
17,"{8g",4,"M2/4","C:",3,"v5","8","g",TRUE,"-P4",4,67
18,"8f#",5,"M2/4","C:",3,"v4+","8","f#",TRUE,"-m2",2,66
19,"8g",5,"M2/4","C:",3,"^5","8","g",FALSE,"+m2",2,67
20,"8a",5,"M2/4","C:",3,"^6","8","a",FALSE,"+M2",2,69
21,"8g",5,"M2/4","C:",3,"v5","8","g",TRUE,"-M2",2,67
22,"8f#",6,"M2/4","C:",3,"v4+","8","f#",TRUE,"-m2",2,66
23,"8g",6,"M2/4","C:",3,"^5","8","g",FALSE,"+m2",2,67
24,"8a}",6,"M2/4","C:",3,"^6","8","a",FALSE,"+M2",2,69
25,"{8g",6,"M2/4","C:",4,"v5","8","g",TRUE,"-M2",2,67
26,"8g",7,"M2/4","C:",4,"5","8","g",FALSE,"P1",1,67
27,"8f",7,"M2/4","C:",4,"v4","8","f",TRUE,"-M2",2,65
28,"8.ff/",7,"M2/4","C:",4,"^4","8.","ff",FALSE,"+P8",8,77
29,"16b/",7,"M2/4","C:",4,"v7","16","b",TRUE,"-d5",5,71
30,"4cc/",8,"M2/4","C:",4,"^1","4","cc",FALSE,"+m2",2,72
31,"4r}",8,"M2/4","C:",4,NA,"4",NA,FALSE,NA,NA,NA
32,"{4d",9,"M2/4","C:",5,"v2","4","d",FALSE,"[d]",NA,62
33,"4g",9,"M2/4","C:",5,"^5","4","g",FALSE,"+P4",4,67
34,"4.b/}",10,"M2/4","C:",5,"^7","4.","b",FALSE,"+M3",3,71
35,"{(16b/L",10,"M2/4","C:",6,"7","16","b",FALSE,"P1",1,71
36,"16ccJ)",10,"M2/4","C:",6,"^1","16","cc",FALSE,"+m2",2,72
37,"8b/^",11,"M2/4","C:",6,"v7","8","b",TRUE,"-m2",2,71
38,"8a/",11,"M2/4","C:",6,"v6","8","a",TRUE,"-M2",2,69
39,"8a/",11,"M2/4","C:",6,"6","8","a",FALSE,"P1",1,69
40,"(16aL",11,"M2/4","C:",6,"6","16","a",FALSE,"P1",1,69
41,"16bJ)",11,"M2/4","C:",6,"^7","16","b",FALSE,"+M2",2,71
42,"8a/^",12,"M2/4","C:",6,"v6","8","a",TRUE,"-M2",2,69
