"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{4dd/",1,"M4/4","D:",1,"^^2","4","dd",FALSE,"[dd]",NA,74
2,"4dd/",1,"M4/4","D:",1,"2","4","dd",FALSE,"P1",1,74
3,"4cc#/",1,"M4/4","D:",1,"v1+","4","cc#",TRUE,"-m2",2,73
4,"4cc#/",1,"M4/4","D:",1,"1+","4","cc#",FALSE,"P1",1,73
5,"4b/",2,"M4/4","D:",1,"v7","4","b",TRUE,"-M2",2,71
6,"4b/",2,"M4/4","D:",1,"7","4","b",FALSE,"P1",1,71
7,"2a}",2,"M4/4","D:",1,"v6","2","a",TRUE,"-M2",2,69
8,"{4b/",3,"M4/4","D:",2,"^7","4","b",FALSE,"+M2",2,71
9,"4a",3,"M4/4","D:",2,"v6","4","a",TRUE,"-M2",2,69
10,"4b/",3,"M4/4","D:",2,"^7","4","b",FALSE,"+M2",2,71
11,"4a",3,"M4/4","D:",2,"v6","4","a",TRUE,"-M2",2,69
12,"4g",4,"M4/4","D:",2,"v5","4","g",TRUE,"-M2",2,67
13,"4f#",4,"M4/4","D:",2,"v4+","4","f#",TRUE,"-m2",2,66
14,"2e}",4,"M4/4","D:",2,"v3","2","e",TRUE,"-M2",2,64
15,"{4f#",5,"M4/4","D:",3,"^4+","4","f#",FALSE,"+M2",2,66
16,"4f#",5,"M4/4","D:",3,"4+","4","f#",FALSE,"P1",1,66
17,"4e",5,"M4/4","D:",3,"v3","4","e",TRUE,"-M2",2,64
18,"4e",5,"M4/4","D:",3,"3","4","e",FALSE,"P1",1,64
19,"4f#",6,"M4/4","D:",3,"^4+","4","f#",FALSE,"+M2",2,66
20,"4f#",6,"M4/4","D:",3,"4+","4","f#",FALSE,"P1",1,66
21,"4e",6,"M4/4","D:",3,"v3","4","e",TRUE,"-M2",2,64
22,"4e}",6,"M4/4","D:",3,"3","4","e",FALSE,"P1",1,64
23,"{4f#",7,"M4/4","D:",4,"^4+","4","f#",FALSE,"+M2",2,66
24,"4f#",7,"M4/4","D:",4,"4+","4","f#",FALSE,"P1",1,66
25,"4e",7,"M4/4","D:",4,"v3","4","e",TRUE,"-M2",2,64
26,"4e",7,"M4/4","D:",4,"3","4","e",FALSE,"P1",1,64
27,"4f#",8,"M4/4","D:",4,"^4+","4","f#",FALSE,"+M2",2,66
28,"4f#",8,"M4/4","D:",4,"4+","4","f#",FALSE,"P1",1,66
29,"4e",8,"M4/4","D:",4,"v3","4","e",TRUE,"-M2",2,64
30,"4e}",8,"M4/4","D:",4,"3","4","e",FALSE,"P1",1,64
31,"{4f#",9,"M4/4","D:",5,"^4+","4","f#",FALSE,"+M2",2,66
32,"4e",9,"M4/4","D:",5,"v3","4","e",TRUE,"-M2",2,64
33,"4f#",9,"M4/4","D:",5,"^4+","4","f#",FALSE,"+M2",2,66
34,"4g",9,"M4/4","D:",5,"^5","4","g",FALSE,"+m2",2,67
35,"2a",10,"M4/4","D:",5,"^6","2","a",FALSE,"+M2",2,69
36,"4dd/",10,"M4/4","D:",5,"^2","4","dd",FALSE,"+P4",4,74
37,"4r}",10,"M4/4","D:",5,NA,"4",NA,FALSE,NA,NA,NA
38,"{8gL",11,"M4/4","D:",6,"v5","8","g",FALSE,"[g]",NA,67
39,"8f#J",11,"M4/4","D:",6,"v4+","8","f#",TRUE,"-m2",2,66
40,"8eL",11,"M4/4","D:",6,"v3","8","e",TRUE,"-M2",2,64
41,"8dJ",11,"M4/4","D:",6,"v2","8","d",TRUE,"-M2",2,62
42,"4a",11,"M4/4","D:",6,"^6","4","a",FALSE,"+P5",5,69
43,"4a",11,"M4/4","D:",6,"6","4","a",FALSE,"P1",1,69
44,"2d;",12,"M4/4","D:",6,"v2","2","d",TRUE,"-P5",5,62
45,"2r}",12,"M4/4","D:",6,NA,"2",NA,FALSE,NA,NA,NA
