"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8f",1,"M2/4","F:",1,"^4","8","f",FALSE,"[f]",NA,65
2,"8r",1,"M2/4","F:",1,NA,"8",NA,FALSE,NA,NA,NA
3,"8a",1,"M2/4","F:",1,"^6","8","a",FALSE,"[a]",NA,69
4,"8r",1,"M2/4","F:",1,NA,"8",NA,FALSE,NA,NA,NA
5,"4cc/",2,"M2/4","F:",1,"^1","4","cc",FALSE,"[cc]",NA,72
6,"8r}",2,"M2/4","F:",1,NA,"8",NA,FALSE,NA,NA,NA
7,"{8dd/",2,"M2/4","F:",2,"^2","8","dd",FALSE,"[dd]",NA,74
8,"8cc/",3,"M2/4","F:",2,"v1","8","cc",TRUE,"-M2",2,72
9,"8a",3,"M2/4","F:",2,"v6","8","a",TRUE,"-m3",3,69
10,"8b-/",3,"M2/4","F:",2,"^7-","8","b-",FALSE,"+m2",2,70
11,"8g",3,"M2/4","F:",2,"v5","8","g",TRUE,"-m3",3,67
12,"4f",4,"M2/4","F:",2,"v4","4","f",TRUE,"-M2",2,65
13,"8r}",4,"M2/4","F:",2,NA,"8",NA,FALSE,NA,NA,NA
14,"{8a",4,"M2/4","F:",3,"^6","8","a",FALSE,"[a]",NA,69
15,"4g",5,"M2/4","F:",3,"v5","4","g",TRUE,"-M2",2,67
16,"4bn/",5,"M2/4","F:",3,"^7","4","b",FALSE,"+M3",3,71
17,"4cc/",6,"M2/4","F:",3,"^1","4","cc",FALSE,"+m2",2,72
18,"8r}",6,"M2/4","F:",3,NA,"8",NA,FALSE,NA,NA,NA
19,"{8a",6,"M2/4","F:",4,"v6","8","a",FALSE,"[a]",NA,69
20,"4g",7,"M2/4","F:",4,"v5","4","g",TRUE,"-M2",2,67
21,"4bn/",7,"M2/4","F:",4,"^7","4","b",FALSE,"+M3",3,71
22,"4cc/",8,"M2/4","F:",4,"^1","4","cc",FALSE,"+m2",2,72
23,"8r}",8,"M2/4","F:",4,NA,"8",NA,FALSE,NA,NA,NA
24,"{8cc/",8,"M2/4","F:",5,"1","8","cc",FALSE,"[cc]",NA,72
25,"8.dd/",9,"M2/4","F:",5,"^2","8.","dd",FALSE,"+M2",2,74
26,"16cc/",9,"M2/4","F:",5,"v1","16","cc",TRUE,"-M2",2,72
27,"8b-/",9,"M2/4","F:",5,"v7-","8","b-",TRUE,"-M2",2,70
28,"8a",9,"M2/4","F:",5,"v6","8","a",TRUE,"-m2",2,69
29,"4g",10,"M2/4","F:",5,"v5","4","g",TRUE,"-M2",2,67
30,"4a",10,"M2/4","F:",5,"^6","4","a",FALSE,"+M2",2,69
31,"4b-/",11,"M2/4","F:",5,"^7-","4","b-",FALSE,"+m2",2,70
32,"8r}",11,"M2/4","F:",5,NA,"8",NA,FALSE,NA,NA,NA
33,"{8g",11,"M2/4","F:",6,"v5","8","g",FALSE,"[g]",NA,67
34,"8.cc/",12,"M2/4","F:",6,"^1","8.","cc",FALSE,"+P4",4,72
35,"16b-/",12,"M2/4","F:",6,"v7-","16","b-",TRUE,"-M2",2,70
36,"8a",12,"M2/4","F:",6,"v6","8","a",TRUE,"-m2",2,69
37,"8g",12,"M2/4","F:",6,"v5","8","g",TRUE,"-M2",2,67
38,"4a",13,"M2/4","F:",6,"^6","4","a",FALSE,"+M2",2,69
39,"4g",13,"M2/4","F:",6,"v5","4","g",TRUE,"-M2",2,67
40,"4f",14,"M2/4","F:",6,"v4","4","f",TRUE,"-M2",2,65
41,"4r;}",14,"M2/4","F:",6,NA,"4",NA,FALSE,NA,NA,NA
