"id","summary","measure","metre","key","phrases","degree","duration","note_name","mint_direction","mint","interval","pitch"
1,"{8c",1,"M3/8","C:",1,"1","8","c",FALSE,"[c]",NA,60
2,"8e",1,"M3/8","C:",1,"^3","8","e",FALSE,"+M3",3,64
3,"8g",1,"M3/8","C:",1,"^5","8","g",FALSE,"+m3",3,67
4,"8.cc/",2,"M3/8","C:",1,"^1","8.","cc",FALSE,"+P4",4,72
5,"16cc",2,"M3/8","C:",1,"1","16","cc",FALSE,"P1",1,72
6,"8a",2,"M3/8","C:",1,"v6","8","a",TRUE,"-m3",3,69
7,"8.a",3,"M3/8","C:",1,"6","8.","a",FALSE,"P1",1,69
8,"16g",3,"M3/8","C:",1,"v5","16","g",TRUE,"-M2",2,67
9,"8g",3,"M3/8","C:",1,"5","8","g",FALSE,"P1",1,67
10,"8.a",4,"M3/8","C:",1,"^6","8.","a",FALSE,"+M2",2,69
11,"16g",4,"M3/8","C:",1,"v5","16","g",TRUE,"-M2",2,67
12,"8g}",4,"M3/8","C:",1,"5","8","g",FALSE,"P1",1,67
13,"{8e",5,"M3/8","C:",2,"v3","8","e",TRUE,"-m3",3,64
14,"8e",5,"M3/8","C:",2,"3","8","e",FALSE,"P1",1,64
15,"8e",5,"M3/8","C:",2,"3","8","e",FALSE,"P1",1,64
16,"4g",6,"M3/8","C:",2,"^5","4","g",FALSE,"+m3",3,67
17,"8d",6,"M3/8","C:",2,"v2","8","d",TRUE,"-P4",4,62
18,"8.f",7,"M3/8","C:",2,"^4","8.","f",FALSE,"+m3",3,65
19,"16e",7,"M3/8","C:",2,"v3","16","e",TRUE,"-m2",2,64
20,"8e",7,"M3/8","C:",2,"3","8","e",FALSE,"P1",1,64
21,"8.f",8,"M3/8","C:",2,"^4","8.","f",FALSE,"+m2",2,65
22,"16e",8,"M3/8","C:",2,"v3","16","e",TRUE,"-m2",2,64
23,"8e}",8,"M3/8","C:",2,"3","8","e",FALSE,"P1",1,64
24,"{8c",9,"M3/8","C:",3,"v1","8","c",TRUE,"-M3",3,60
25,"8e",9,"M3/8","C:",3,"^3","8","e",FALSE,"+M3",3,64
26,"8g",9,"M3/8","C:",3,"^5","8","g",FALSE,"+m3",3,67
27,"4cc/",10,"M3/8","C:",3,"^1","4","cc",FALSE,"+P4",4,72
28,"8ee",10,"M3/8","C:",3,"^3","8","ee",FALSE,"+M3",3,76
29,"4dd/",11,"M3/8","C:",3,"v2","4","dd",TRUE,"-M2",2,74
30,"8b/",11,"M3/8","C:",3,"v7","8","b",TRUE,"-m3",3,71
31,"4cc/",12,"M3/8","C:",3,"^1","4","cc",FALSE,"+m2",2,72
32,"8r}",12,"M3/8","C:",3,NA,"8",NA,FALSE,NA,NA,NA
